HourOfDay,SpendTier,Class,Transaction_Count,Total_Amount_USD,Avg_Amount_USD
7,1. Micro (< $10),0,3148,9241.56,2.94
7,1. Micro (< $10),1,1,3.76,3.76
7,2. Low ($10 - $100),0,3011,121886.75,40.48
7,2. Low ($10 - $100),1,21,2023.16,96.34
7,3. Medium ($100 - $500),0,896,182142.13,203.28
7,4. High ($500 - $1000),0,112,78274.41,698.88
7,4. High ($500 - $1000),1,1,730.86,730.86
7,5. Very High (> $1000),0,53,96906.47,1828.42
8,1. Micro (< $10),0,3209,12422.07,3.87
8,1. Micro (< $10),1,3,2.04,0.68
8,2. Low ($10 - $100),0,5064,211004.51,41.67
8,2. Low ($10 - $100),1,3,112.36,37.45
8,3. Medium ($100 - $500),0,1678,350588.63,208.93
8,3. Medium ($100 - $500),1,3,316.59,105.53
8,4. High ($500 - $1000),0,209,142565.06,682.13
8,5. Very High (> $1000),0,107,195202.03,1824.32
9,1. Micro (< $10),0,4359,16366.01,3.75
9,1. Micro (< $10),1,7,24.58,3.51
9,2. Low ($10 - $100),0,7778,320916.25,41.26
9,2. Low ($10 - $100),1,5,132.06,26.41
9,3. Medium ($100 - $500),0,3124,660268.45,211.35
9,3. Medium ($100 - $500),1,3,381.62,127.21
9,4. High ($500 - $1000),0,373,258034.88,691.78
9,4. High ($500 - $1000),1,1,717.15,717.15
9,5. Very High (> $1000),0,188,371988.82,1978.66
10,1. Micro (< $10),0,4526,17157.15,3.79
10,1. Micro (< $10),1,2,3.22,1.61
10,2. Low ($10 - $100),0,8019,332044.12,41.41
10,2. Low ($10 - $100),1,4,108.82,27.2
10,3. Medium ($100 - $500),0,3324,709204.44,213.36
10,3. Medium ($100 - $500),1,1,111.7,111.7
10,4. High ($500 - $1000),0,482,335878.45,696.84
10,5. Very High (> $1000),0,239,423720.61,1772.89
10,5. Very High (> $1000),1,1,2125.87,2125.87
11,1. Micro (< $10),0,4655,17319.6,3.72
11,1. Micro (< $10),1,21,44.93,2.14
11,2. Low ($10 - $100),0,8044,332616.11,41.35
11,2. Low ($10 - $100),1,16,938.63,58.66
11,3. Medium ($100 - $500),0,3387,710958.28,209.91
11,3. Medium ($100 - $500),1,12,2639.02,219.92
11,4. High ($500 - $1000),0,460,318508.44,692.41
11,4. High ($500 - $1000),1,4,2948.15,737.04
11,5. Very High (> $1000),0,257,461668.41,1796.38
12,1. Micro (< $10),0,4533,17167.25,3.79
12,1. Micro (< $10),1,9,10.0,1.11
12,2. Low ($10 - $100),0,7103,289474.2,40.75
12,2. Low ($10 - $100),1,2,112.9,56.45
12,3. Medium ($100 - $500),0,3179,696804.63,219.19
12,3. Medium ($100 - $500),1,4,1225.43,306.36
12,4. High ($500 - $1000),0,397,274995.96,692.69
12,4. High ($500 - $1000),1,1,723.21,723.21
12,5. Very High (> $1000),0,191,353373.23,1850.12
12,5. Very High (> $1000),1,1,1335.0,1335.0
13,1. Micro (< $10),0,4664,17575.98,3.77
13,1. Micro (< $10),1,9,12.86,1.43
13,2. Low ($10 - $100),0,7224,287473.91,39.79
13,2. Low ($10 - $100),1,2,104.01,52.01
13,3. Medium ($100 - $500),0,2902,625237.88,215.45
13,3. Medium ($100 - $500),1,5,1152.3,230.46
13,4. High ($500 - $1000),0,390,265735.83,681.37
13,4. High ($500 - $1000),1,1,925.31,925.31
13,5. Very High (> $1000),0,168,322292.47,1918.41
14,1. Micro (< $10),0,5152,18781.2,3.65
14,1. Micro (< $10),1,9,20.47,2.27
14,2. Low ($10 - $100),0,7711,309793.35,40.18
14,2. Low ($10 - $100),1,7,561.87,80.27
14,3. Medium ($100 - $500),0,3004,638497.38,212.55
14,3. Medium ($100 - $500),1,3,494.86,164.95
14,4. High ($500 - $1000),0,440,303847.99,690.56
14,4. High ($500 - $1000),1,4,2563.92,640.98
14,5. Very High (> $1000),0,240,441071.9,1837.8
15,1. Micro (< $10),0,4994,19006.86,3.81
15,1. Micro (< $10),1,17,38.13,2.24
15,2. Low ($10 - $100),0,7595,296552.07,39.05
15,3. Medium ($100 - $500),0,3194,675269.24,211.42
15,3. Medium ($100 - $500),1,9,2195.96,244.0
15,4. High ($500 - $1000),0,447,310428.34,694.47
15,5. Very High (> $1000),0,205,375519.01,1831.8
16,1. Micro (< $10),0,5183,19594.96,3.78
16,1. Micro (< $10),1,11,33.19,3.02
16,2. Low ($10 - $100),0,7542,298999.85,39.64
16,2. Low ($10 - $100),1,3,159.44,53.15
16,3. Medium ($100 - $500),0,3025,656545.35,217.04
16,3. Medium ($100 - $500),1,5,1259.44,251.89
16,4. High ($500 - $1000),0,446,310520.42,696.23
16,4. High ($500 - $1000),1,2,1663.82,831.91
16,5. Very High (> $1000),0,235,412443.88,1755.08
16,5. Very High (> $1000),1,1,1389.56,1389.56
17,1. Micro (< $10),0,5514,21019.17,3.81
17,1. Micro (< $10),1,18,28.81,1.6
17,2. Low ($10 - $100),0,7098,280371.92,39.5
17,2. Low ($10 - $100),1,4,97.13,24.28
17,3. Medium ($100 - $500),0,2906,634134.17,218.22
17,3. Medium ($100 - $500),1,5,1125.02,225.0
17,4. High ($500 - $1000),0,425,296520.17,697.69
17,4. High ($500 - $1000),1,1,720.38,720.38
17,5. Very High (> $1000),0,194,354081.02,1825.16
17,5. Very High (> $1000),1,1,1402.16,1402.16
18,1. Micro (< $10),0,6396,23833.87,3.73
18,1. Micro (< $10),1,18,29.28,1.63
18,2. Low ($10 - $100),0,7625,295359.62,38.74
18,2. Low ($10 - $100),1,6,293.61,48.94
18,3. Medium ($100 - $500),0,2534,535447.84,211.31
18,3. Medium ($100 - $500),1,5,1517.02,303.4
18,4. High ($500 - $1000),0,316,221323.41,700.39
18,4. High ($500 - $1000),1,1,549.06,549.06
18,5. Very High (> $1000),0,135,234001.46,1733.34
18,5. Very High (> $1000),1,3,3956.17,1318.72
19,1. Micro (< $10),0,5719,21717.44,3.8
19,1. Micro (< $10),1,13,36.06,2.77
19,2. Low ($10 - $100),0,7173,271823.33,37.9
19,2. Low ($10 - $100),1,1,94.82,94.82
19,3. Medium ($100 - $500),0,2294,491436.68,214.23
19,3. Medium ($100 - $500),1,4,1158.92,289.73
19,4. High ($500 - $1000),0,315,217142.2,689.34
19,4. High ($500 - $1000),1,1,824.83,824.83
19,5. Very High (> $1000),0,129,216176.07,1675.78
20,1. Micro (< $10),0,6336,23986.32,3.79
20,1. Micro (< $10),1,6,12.51,2.09
20,2. Low ($10 - $100),0,7472,284045.19,38.01
20,2. Low ($10 - $100),1,6,244.05,40.68
20,3. Medium ($100 - $500),0,2519,521717.55,207.11
20,3. Medium ($100 - $500),1,6,1253.85,208.97
20,4. High ($500 - $1000),0,283,196394.8,693.97
20,5. Very High (> $1000),0,128,221418.83,1729.83
21,1. Micro (< $10),0,7021,24309.5,3.46
21,1. Micro (< $10),1,7,7.0,1.0
21,2. Low ($10 - $100),0,7667,297735.69,38.83
21,2. Low ($10 - $100),1,5,312.04,62.41
21,3. Medium ($100 - $500),0,2563,532042.92,207.59
21,3. Medium ($100 - $500),1,4,710.46,177.62
21,4. High ($500 - $1000),0,297,203781.85,686.13
21,5. Very High (> $1000),0,139,209715.72,1508.75
22,1. Micro (< $10),0,6452,22512.39,3.49
22,1. Micro (< $10),1,4,8.77,2.19
22,2. Low ($10 - $100),0,6520,250599.87,38.44
22,2. Low ($10 - $100),1,2,59.85,29.92
22,3. Medium ($100 - $500),0,2116,438526.13,207.24
22,3. Medium ($100 - $500),1,2,739.08,369.54
22,4. High ($500 - $1000),0,250,178911.67,715.65
22,4. High ($500 - $1000),1,1,634.3,634.3
22,5. Very High (> $1000),0,94,186963.73,1988.98
23,1. Micro (< $10),0,4704,17120.88,3.64
23,1. Micro (< $10),1,9,5.76,0.64
23,2. Low ($10 - $100),0,4535,168436.23,37.14
23,2. Low ($10 - $100),1,3,132.73,44.24
23,3. Medium ($100 - $500),0,1423,302932.1,212.88
23,3. Medium ($100 - $500),1,7,1980.13,282.88
23,4. High ($500 - $1000),0,177,122625.12,692.8
23,4. High ($500 - $1000),1,2,1024.5,512.25
23,5. Very High (> $1000),0,78,139515.71,1788.66
